代码,名称,90%集中度,70%集中度,平均成本,获利比例
600167,模拟股票168,31.25,21.38,49.56,67.89
600168,模拟股票169,27.52,18.24,19.23,29.9
600169,模拟股票170,23.34,10.97,20.12,68.44
600170,模拟股票171,8.22,3.33,46.32,27.04
600171,模拟股票172,49.39,26.94,9.19,30.36
600172,模拟股票173,9.84,5.98,36.35,45.36
600173,模拟股票174,38.14,16.58,7.99,72.97
600174,模拟股票175,45.04,21.76,51.4,78.03
600175,模拟股票176,43.43,23.39,25.49,76.42
600176,模拟股票177,43.13,29.78,26.72,56.31
600177,模拟股票178,40.14,27.98,32.8,29.29
600178,模拟股票179,6.81,4.69,16.57,78.42
600179,模拟股票180,44.68,27.67,62.26,37.17
600180,模拟股票181,27.28,13.35,62.88,52.15
600181,模拟股票182,24.21,15.74,97.54,84.49
600182,模拟股票183,49.0,21.78,44.77,71.48
600183,模拟股票184,44.19,21.21,65.6,72.49
600184,模拟股票185,11.58,7.2,11.19,71.9
600185,模拟股票186,44.83,21.65,95.95,82.9
600186,模拟股票187,49.05,33.74,55.02,83.02
600187,模拟股票188,48.62,30.71,67.61,51.34
600188,模拟股票189,39.31,19.74,6.87,85.16
600189,模拟股票190,27.32,16.6,42.63,39.87
600190,模拟股票191,10.49,6.35,42.0,68.72
600191,模拟股票192,43.78,18.84,41.05,68.45
600192,模拟股票193,7.96,5.53,72.62,35.67
600193,模拟股票194,49.88,30.78,84.99,65.47
600194,模拟股票195,38.87,18.14,27.28,81.75
600195,模拟股票196,24.49,17.1,39.17,80.92
600196,模拟股票197,48.43,23.17,54.28,25.83
600197,模拟股票198,9.19,5.56,29.43,14.47
600198,模拟股票199,15.6,8.64,40.18,66.41
600199,模拟股票200,17.73,11.03,49.89,61.43
